date,watershed,river,site,method,water_temp_start,fork_length_mm,weight_g,species
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,77,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,77,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,78,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,79,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,79,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,79,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,79,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,81,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,83,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,83,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,84,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,84,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,85,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,85,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,88,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,89,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,62,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,63,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,79,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,79,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,80,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,81,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,83,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,85,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,86,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,92,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,93,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,62,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,67,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,67,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,67,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-05-08,cowichan,cowichan,rst,rst,,60,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,77,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,78,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,79,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,79,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,79,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,80,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,80,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,80,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,81,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,81,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,84,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,96,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,95,,co
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,100,,co
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,60,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,60,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,61,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,62,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,64,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,65,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,66,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,67,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,68,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,69,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,70,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,71,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,72,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,73,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,74,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,75,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,76,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,77,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,83,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,85,,ck
2021-06-01,cowichan,cowichan,cow bay,beach seine,12.8,60,,ck
